"wikidata_url","wikidata_qid","place_label","location"
http://www.wikidata.org/entity/Q1009829,Q1009829,Tarland,Point(-2.86667 57.1333)
http://www.wikidata.org/entity/Q1009833,Q1009833,Gorebridge,Point(-3.05 55.8436)
http://www.wikidata.org/entity/Q1009852,Q1009852,Ormiston,Point(-2.94306 55.9122)
http://www.wikidata.org/entity/Q1009859,Q1009859,Hagley,Point(-2.12 52.43)
http://www.wikidata.org/entity/Q1009861,Q1009861,Kirkconnel,Point(-4.00061 55.387)
http://www.wikidata.org/entity/Q1009866,Q1009866,Sandhaven,Point(-2.06667 57.6833)
http://www.wikidata.org/entity/Q1009885,Q1009885,St Combs,Point(-1.9107 57.6571)
http://www.wikidata.org/entity/Q1009891,Q1009891,Milnathort,Point(-3.41449 56.2277)
http://www.wikidata.org/entity/Q1009902,Q1009902,Pencaitland,Point(-2.89098 55.91)
http://www.wikidata.org/entity/Q1009907,Q1009907,Portgordon,Point(-3.01667 57.65)
http://www.wikidata.org/entity/Q1009915,Q1009915,Shotts,Point(-3.80393 55.8224)
http://www.wikidata.org/entity/Q1009925,Q1009925,Wellbank,Point(-2.86302 56.5211)
http://www.wikidata.org/entity/Q1009931,Q1009931,Salsburgh,Point(-3.87795 55.8414)
http://www.wikidata.org/entity/Q1009938,Q1009938,New Deer,Point(-2.2 57.5)
http://www.wikidata.org/entity/Q1009960,Q1009960,Mossblown,Point(-4.52777778 55.49166667)
http://www.wikidata.org/entity/Q1009964,Q1009964,Glenfarg,Point(-3.4 56.2667)
http://www.wikidata.org/entity/Q1009979,Q1009979,Newmachar,Point(-2.192 57.267)
http://www.wikidata.org/entity/Q1009989,Q1009989,Strichen,Point(-2.0904 57.5865)
http://www.wikidata.org/entity/Q1010044,Q1010044,Langbank,Point(-4.58634 55.9241)
http://www.wikidata.org/entity/Q1010052,Q1010052,Menstrie,Point(-3.85438 56.1508)
http://www.wikidata.org/entity/Q1010092,Q1010092,Elie and Earlsferry,Point(-2.82334 56.1899)
http://www.wikidata.org/entity/Q1010142,Q1010142,Evanton,Point(-4.338319444 57.663130555)
http://www.wikidata.org/entity/Q1010148,Q1010148,Tayport,Point(-2.8796 56.4467)
http://www.wikidata.org/entity/Q1010152,Q1010152,Whitecraig,Point(-3.0337 55.923)
http://www.wikidata.org/entity/Q1010156,Q1010156,Kelty,Point(-3.38333 56.1333)
http://www.wikidata.org/entity/Q1010161,Q1010161,Kingskettle,Point(-3.1166 56.2626)
http://www.wikidata.org/entity/Q1010169,Q1010169,Holmes Chapel,Point(-2.353 53.204)
http://www.wikidata.org/entity/Q1010175,Q1010175,Erskine,Point(-4.46234 55.9005)
http://www.wikidata.org/entity/Q1010180,Q1010180,Lochwinnoch,Point(-4.62856 55.7925)
http://www.wikidata.org/entity/Q1010210,Q1010210,Redruth,Point(-5.224 50.233)
