"id","type","lon","lat","place","name","name:en","name:zh","wikipedia","wikidata"
,node,-1.852,53.6405,,Golcar,,,,
,node,-2.4868,52.6747,,Lawley,,,,
,node,-0.8869,52.7659,,Melton,,,,
,node,-3.2331,56.0594,,Burntisland,,,,
,node,-0.98,51.42,,Whitley,,,,
,node,-1.5245,53.6986,,Wrenthorpe,,,,
,node,-4.0907,55.7921,,Blantyre,,,,
,node,-1.03,50.88,,Havant,,,,
,node,0.14,52.18,,Cambridge,,,,
,node,-1.382,50.9411,,Swaythling,,,,
,node,-1.8377,53.6858,,Elland,,,,
,node,-3.06,56.46,,Carse of Gowrie,,,,
,node,-2.0696,57.3635,,Ellon,,,,
,node,1.13,52.07,,Ipswich,,,,
,node,-2.8885,56.6445,,Forfar,,,,
,node,-3.15,56.2,,Glenrothes North,,,,
,node,-3.3095,56.1293,,Lochgelly,,,,
,node,-2.0693,53.393,,Marple,,,,
,node,-4.8115,55.6472,,Ardrossan,,,,
,node,-3.48,50.71,,Exeter,,,,
,node,-3.37,51.74,,Town,,,,
,node,1.2388,51.8509,,Frinton,,,,
,node,-2.9804,55.9594,,Preston,,,,
,node,0.95,51.88,,Colchester,,,,
,node,-4.2955,55.7994,,Giffnock,,,,
,node,-1.4968,52.9447,,Allestree,,,,
,node,-1.8089,53.6379,,Crosland Moor,,,,
,node,-2.9,53.2,,Garden Quarter,,,,
,node,-3.0097,56.3193,,Cupar,,,,
,node,-3.59,56.06,,West Fife,,,,
,node,-4.0027,55.8195,,Mossend,,,,
,node,-3.75,56.28,,Strathallan,,,,
,node,-2.7229,56.0582,,North Berwick Coastal,,,,
,node,-2.74,53.37,,Kingsway,,,,
,node,-2.3954,53.5055,,Worsley,,,,
,node,-3.919,56.0907,,Bannockburn,,,,
,node,-4.3317,55.9188,,Bearsden,,,,
,node,-3.5173,56.4173,,Almond,,,,
,node,-3.0328,56.1702,,Buckhaven,,,,
,node,-1.1099,53.9381,,Dringhouses,,,,
,node,-4.4097,55.9153,,Clydebank,,,,
,node,-3.1345,53.2493,,Flint,,,,
,node,-1.1445,53.5509,,Bentley,,,,
,node,-2.1785,53.5944,,Castleton,,,,
,node,-2.8745,53.2011,,Hoole,,,,
,node,-0.15,52.79,,South Holland,,,,
,node,-1.3377,53.4599,,Rawmarsh,,,,
,node,-4.29,55.47,,Ballochmyle,,,,
,node,-2.4676,56.7125,,Montrose,,,,
,node,-3.0998,55.8735,,Bonnyrigg,,,,
,node,-0.92,52.48,,Harborough,,,,
,node,-5.4735,56.4157,,Oban,,,,
,node,-2.6759,53.5352,,Pemberton,,,,
,node,-3.8738,57.5848,,Nairn,,,,
,node,-2.14,57.06,,North Kincardine,,,,
,node,-1.6421,52.8209,,Horninglow,,,,
,node,-2.9969,56.1954,,Leven,,,,
,node,-4.74,55.94,,Inverclyde East,,,,
,node,-3.5167,53.312,,Kinmel Bay,,,,
,node,-2.11,53.42,,Bredbury,,,,
,node,-1.1884,53.5734,,Adwick le Street,,,,
,node,-4.0696,55.8018,,Bothwell,,,,
,node,-2.9775,53.3334,,Bromborough,,,,
,node,-2.2864,57.1544,,Westhill,,,,
,node,-2.8272,56.4832,,Monifieth,,,,
,node,-4.5495,55.8677,,Houston,,,,
,node,-4.5064,55.9097,,Bishopton,,,,
,node,-2.8072,55.6163,,Galashiels,,,,
,node,-1.7892,53.692,,Rastrick,,,,
,node,-3.62,55.07,,North West Dumfries,,,,
,node,-2.7122,53.5331,,Orrell,,,,
,node,-2.4658,53.5816,,Heaton,,,,
,node,-2.9257,53.2081,,Blacon,,,,
,node,-3.3,57.71,,Heldon,,,,
,node,-3.9224,55.7732,,Wishaw,,,,
,node,-0.24,52.56,,Fletton,,,,
,node,-0.9992,51.4662,,Battle,,,,
,node,-4.0602,50.3907,,Plympton St. Mary,,,,
,node,-4.1508,55.9253,,Lenzie,,,,
,node,-4.4,55.32,,Doon Valley,,,,
,node,-4.3894,55.8012,,Barrhead,,,,
,node,-3.0167,53.35,,Bebington,,,,
,node,-4.55,55.95,,Leven,,,,
,node,-2.73,53.34,,Mersey,,,,
,node,-5.1013,56.8381,,Caol,,,,
,node,-3.2208,51.5745,,Caerphilly,,,,
,node,-1.5542,53.6612,,Horbury,,,,
,node,-0.61,51.48,,Castle Without,,,,
,node,-4.4183,56.2334,,Trossachs,,,,
,node,-2.35,53.48,,Barton,,,,
,node,-2.439,53.4232,,Cadishead,,,,
,node,-2.96,55.94,,Fa'side,,,,
,node,-1.5403,53.3263,,Dore,,,,
,node,-4.87,55.79,,North Coast,,,,
,node,-2.1,53.54,,St. Mary's,,,,
,node,-1.3575,53.0146,,Heanor,,,,
,node,-2.1178,53.3768,,Hazel Grove,,,,
,node,-1.4057,52.9205,,Spondon,,,,
,node,-0.8119,52.0609,,Wolverton,,,,
,node,-2.5157,56.0028,,Dunbar,,,,
,node,-3.01,53.34,,Clatterbridge,,,,
,node,-2.44,57.24,,West Garioch,,,,
,node,0.3066,51.4437,,Swanscombe,,,,
,node,-3.9538,55.9596,,Abronhill,,,,
,node,0.709886,51.545256,,Victoria,,,,
,node,-4.21,57.46,,Inverness Ness-Side,,,,
,node,-2.0794,53.4513,,Hyde Godley,,,,
,node,-1.79,51.57,,Rodbourne Cheney,,,,
,node,-1.4745,53.7132,,Stanley,,,,
,node,-4.03,55.82,,Bellshill,,,,
,node,-1.5432,53.365,,Fulwood,,,,
,node,-0.65,53.59,,Town,,,,
,node,-1.4052,50.9369,,Bassett,,,,
,node,-2.7113,56.5022,,Carnoustie,,,,
,node,-3.7012,55.8278,,Fauldhouse,,,,
,node,-2.54,53.58,,Horwich,,,,
,node,-1.8122,53.7259,,Hipperholme,,,,
,node,-4.5,55.84,,Johnstone North,,,,
